date,id,tweet
2020-02-04T21:57:50.000Z,1224814343528878080,Belgian woman on same flight as evacuated Brits has Coronavirus https://t.co/6U5j4toMVs via @MailOnline,
2020-02-04T21:57:03.000Z,1224814146677608448,@Sparkle__Monkey That was the extent of my cod Japanese.,
2020-02-04T21:55:15.000Z,1224813696981065748,"@frankrennie Whil(st) giving a paper at a conference in China, I overheard one of my Australian colleagues stage-whisper to a fellow delegate, assuaging their bewilderment and reassuring them that ‘yes they do say outwith, and amidst’ 🥴",
2020-02-04T21:54:41.000Z,1224813551690362880,"@thegibosuk @JapanGov Fuck them sheep shagging three legged bog trotting swamp donkey taffy trogs  
 I’m gonna have to support the Japanese on this one",
2020-02-04T21:53:40.000Z,1224813297997959171,@virginmedia your internet goes down more than a thai lady boy !,
2020-02-04T21:53:28.000Z,1224813244268851200,It certainly was. Has to be one the best value Korean places in the West end. If only for the Steampunk meets Star Wars suction snouts. https://t.co/g8Tl8NKTzS,
2020-02-04T21:52:04.000Z,1224812893029400577,#coronarvirus fears leading to many Chinese people being discriminated against and experiencing #racism Understandable there will be many who are anxious about contracting the virus but there can be no excuses for racism. Anyone experiencing racism please report #noplaceforhate,
2020-02-04T21:51:24.000Z,1224812726687539200,"The lunatics have taken over the asylum! 

BBC News - Coronavirus: UK tells all Britons to leave China 'if they can'
https://t.co/kCWRCtNrQi",
2020-02-04T21:49:39.000Z,1224812286080143360,"@BorisJohnson @DominicRaab @patel4witham Things are far worse in China than is being told, please listen to this. #coronavirus https://t.co/ihO8UW5fHd",
2020-02-04T21:47:33.000Z,1224811757467766784,can’t wait to see what the “China are building a hospital in just two weeks! They’re so much better than us!” people have to say about this. https://t.co/BhZanpCZ8h,
2020-02-04T21:43:16.000Z,1224810679389052929,@Garden_Ninja You’re fooling nobody. They all know that there are millions of reasons that you hang with me. Some of them are even good reasons.,
2020-02-04T21:42:15.000Z,1224810422521532417,Been watching Marco Polo on #Netflix and now find myself rather strangely enjoying the Mongolian throat singing 🤔,
2020-02-04T21:41:09.000Z,1224810148373434374,"@lo_ollol @Fact @khano_3 Well not, if you do it outside China 😃",
2020-02-04T21:40:02.000Z,1224809866927230976,"Days away from 10 minute walk to work rather than 1.5 hr drive!
Finally found a flat in Redhill, Surrey!

What will I do with all that extra? Finally get back to studying Japanese?
...
Probably just sleep 😩",
2020-02-04T21:37:03.000Z,1224809116582977536,"@Garden_Ninja Nothing, if not well turned out.",
2020-02-04T21:35:51.000Z,1224808814391779329,@Garden_Ninja You got me! New trench coat arriving soon. Watch out.,
2020-02-04T21:30:47.000Z,1224807537008050177,@JohnSimpsonNews Hmmmm... I imagine it won't just be our Chinese population either. Shame on them.,
2020-02-04T21:26:21.000Z,1224806420723441665,my Chinese takeaway is shut for a few weeks so I decided to just make the stuff myself including fortune cookies uh,
2020-02-04T21:24:38.000Z,1224805988185841665,@GrahamMuz I think @hornby upstaged them. The other concern is that the coronavirus in China will play havoc with production schedules,
2020-02-04T21:23:48.000Z,1224805781830324224,Belgian woman on same flight as evacuated Brits has Coronavirus https://t.co/I7cVWW13hv via @MailOnline,
2020-02-04T21:21:15.000Z,1224805136679211013,The quarantine should have happened in China before repatriation. https://t.co/6fK9xPm9W1,
2020-02-04T21:19:25.000Z,1224804677272788992,"@andrealeadsom @BorisJohnson Give it 3 years and we will be in a  tit for tat trade war with the EU, China and the US.",
2020-02-04T21:19:00.000Z,1224804570502782982,"They say that if you have sausage, bacon, beans, egg and fried toms in Japan, it's still a Full English Breakfast. So here's some good old fashioned 70's British Prog.......from Canada. #NowPlaying️ Saga with Silent Knight https://t.co/Z5ILtJO0fP",
