2020-01-09T21:56:22.000Z,1215391890302021633,"World War 3 fears as Russia, Iran and China team up for terrifying military alliance https://t.co/wTN2ieY0th"
2020-01-09T21:53:30.000Z,1215391168940380162,"3 nights catching up with Dracula with @Djinja_Ninja. Bloody brilliant; each different, each pitched perfectly. Those criticizing @Markgatiss &amp; Moffat for the 3rd installment need to stay out of room AD72, they will not enjoy its satanic rites."
2020-01-09T21:53:10.000Z,1215391087298318337,"Commenting on a painting of Simon Cowell and his #dogs, Jay Leno said it looked like something one might see “on the menu at a Korean restaurant.”

In Switzerland, some people still regularly eat dog and #cats. It's legal in the country. Canadians also consume dog meat 🇨🇦🐈 https://t.co/zZnCOexvIj"
2020-01-09T21:53:09.000Z,1215391082260975619,#birding #birds Flycatchers and fantails: new songbirds discovered on tiny islands https://t.co/dScH5RUrBB
2020-01-09T21:51:02.000Z,1215390549047500800,"@SellyFran @dandrasimmons @karybrittingham @BrandiRedmond Neither @BrandiRedmond @stephhollman or @KamWestcott told @karybrittingham in Thailand about what leeanne said they flat out ignored it as @DannyPellegrino pointed out, so at what point did it become so massive ? Ps Brandi’s mocking Asians video is worse. 🤮 🗑 🚫"
2020-01-09T21:46:16.000Z,1215389350428659713,"Currently on this #gemstone trip, we have one German, one Japanese, two Thai, one Chinese and one British! There’s going to be some very interesting conversation! #ThursdayThoughts #TravelThursday #gemstonedetective https://t.co/dmaEgE4p25"
2020-01-09T21:43:44.000Z,1215388710994399232,"@trishgreenhalgh Regime when they mean regimen. Researchers are not the Myanmar govt.
Sacrificed, of animals. Research is not intended to propitiate the gods.
Passed, meaning died (I write obits). A dead person can't pass anything.

And, though rarely on paper, 'guys' meaning men and women."
2020-01-09T21:39:15.000Z,1215387582428864512,"Somehow, after working in radio since the age of 12, I have finally watched Good Morning Vietnam whilst looking after a friend's sleeping child tonight. https://t.co/We2Dg2lmLn"
2020-01-09T21:37:11.000Z,1215387064360894468,"World’s fastest driverless bullet train launches in China

https://t.co/DNMQhMRIr9"
2020-01-09T21:30:19.000Z,1215385336274092033,Chinese New Year @Yu_Alderleyedge ... a very special time of year to join us #yearoftheRat 🐀 https://t.co/Eu2lEEyYVQ
2020-01-09T21:29:42.000Z,1215385181240070144,"Thai Thursday. Home made curry. Join me. @ Maidstone, Kent https://t.co/tC65JMtJ6s"
2020-01-09T21:29:31.000Z,1215385136444968976,Cocktail named “ginger ninja” it rhymes in british
2020-01-09T21:28:50.000Z,1215384961341165583,@MrJamesMay did you get the case of beer I sent you? Also saw the comment on your Japan show about micro breweries. Harsh but true!
2020-01-09T21:28:32.000Z,1215384887265562627,The lipgloss tae use is actually good. I don’t wanna use it because I don’t live in Japan 🥴
2020-01-09T21:28:07.000Z,1215384781590081536,China’s gotta China. https://t.co/GCvOxv0e9R
2020-01-09T21:22:05.000Z,1215383261846933509,"@WorcsFaithful Singapore Restaurant on Friar St
Benedictos"
2020-01-09T21:21:30.000Z,1215383115763474435,@producerkarin There's an interesting discussion by Anita Chan in @MIC_Journal: Chinese management don't like unions or worker pushback but here they fought them with American consultants https://t.co/5wJm4wwCT4
2020-01-09T21:20:33.000Z,1215382876608499723,More Demeter @Djinja_Ninja https://t.co/IpIonD9NUO
2020-01-09T21:20:25.000Z,1215382844782055424,I’m at an Irish pub that serves Thai food. It’s the combo I never knew I needed.
2020-01-09T21:10:37.000Z,1215380376874602497,"""Pret Asian style chicken"" in #Kidlington #UnitedKingdom https://t.co/MQNwnAdcbu #foodwaste #free"
2020-01-09T21:10:25.000Z,1215380329520865280,"""Pret Asian style chicken"" in #Kidlington #UnitedKingdom https://t.co/juF9p5PmXQ #foodwaste #free"
2020-01-09T21:05:33.000Z,1215379101919449090,"Fuc**ing hate China, the River Dolphin became extinct out theee not so long ago, yez it's not just China but they often seem to not give a shit about wildlife or animals in general https://t.co/FdnRnXnTnV"
2020-01-09T21:03:08.000Z,1215378493082566656,"@rabiasquared “What takeaway should we get?”
“You choose”
“Chinese?”
“Don’t fancy it”
“Curry?”
“Gives me indigestion”
“KFC?”
“It’s always too greasy”
Repeat x infinity"
2020-01-09T21:00:37.000Z,1215377862922063872,"@ColonelFalcon @smbflurry @frazer_HX @ComboBroker @FrappMocha @farrelltheferal @Fat_bot @GDHCAMERO @DobricicG @GeekyZombieKing @Elininis You know what, I've never really associated China with retro gaming but I bet there would be so many cool clones in second hand shops over there!"
2020-01-09T21:00:03.000Z,1215377719111774208,Alibaba praised by China's gay community for ad recognising same-sex couples: SHANGHAI (Reuters) - Online gay communities in China are lauding e-commerce giant Alibaba (NYSE:BABA) Group Holding Ltd for releasing a ... https://t.co/QBdGcuzM5t
2020-01-09T20:51:45.000Z,1215375631162265605,"When I am having a tough time the kitchen and cooking are my relief. Deep fried Korean BBQ chicken wings🇰🇷🇰🇷 @ Atherstone, Warwickshire https://t.co/zU0XS6dq1E"
2020-01-09T20:45:48.000Z,1215374132499681288,"@SillyPhillyJen i was wrong! i meant that i forgot how pernicious and at-every-level racist american society is! i was being all 'we have to be careful, as white women, not to forget about indigenous and brown-skinned asian women in racism' instead of 'rwa specifically owes reparations'."
2020-01-09T20:42:14.000Z,1215373235107368969,Chicken green Thai curry https://t.co/4FtAu9AXK6
2020-01-09T20:42:12.000Z,1215373225217200129,Wucai transitional vase #chinese new on https://t.co/Q4KfIYQlvH. https://t.co/4lH4OxNXCF
2020-01-09T20:41:22.000Z,1215373016978292737,Gonna do a genuinely disturbing version of this with only the cheapest ingredients that Morrisons had to offer https://t.co/nlMipHIAVJ
2020-01-09T20:38:12.000Z,1215372220236804096,@GBridgeford @cliveomalley @2StarKirbs @bushontheradio Don’t you have Chinese restaurants up there?🤷🏾‍♂️😂😂
2020-01-09T20:35:35.000Z,1215371561710096391,@HighlandLtd @cliveomalley @2StarKirbs @bushontheradio @grbservices @BoilerfitNW @nwillsdon94 @Andy_J_Mayar know how to eat a Chinese too💪🏾
2020-01-09T20:33:29.000Z,1215371031474573321,"@GBridgeford @cliveomalley @2StarKirbs @bushontheradio I’m not angry, just disappointed.
Curry sauce on/with a Chinese is definitely the way forward. You never had a Chinese or Thai curry for FFS???"
2020-01-09T20:32:31.000Z,1215370791178702856,"@courtneymilan @jackiebarbosa *bows to experience*

it's just easy for me to forget about the uk/us differences and didn't want asian and indigenous authors especially getting overlooked in the change!"
2020-01-09T20:30:45.000Z,1215370343461916692,New virus identified as likely cause of mystery illness in China https://t.co/6NtO1Y9cfG
2020-01-09T20:27:59.000Z,1215369650218962948,@RomeshRanga Romesh I have to ask whether you actually kept the “Dave Lee Travis” miniature stature model of you made in Mongolia? #Sillyfactstime 😉
2020-01-09T20:27:00.000Z,1215369400041312257,@Orzlytweets when you spend Christmas day looking for something that's not in the box but the box says there are 2 screen protectors included and they fob you off in customer service see the picture what's your thoughts?would you think they were included? https://t.co/0cWOhz597A
