keyword
asian
asian indian
asians
asiatic
azn
brunei
bruneian
burma
burmese
cambodia
cambodian
china
chinaman
chinese
ching chong
chink
chinkerbell
chinks
cracker jap
dog eater
east asian
east timor
far eastern
filipino
filipinos
gook
hong kong
indonesia
indonesian
japan
japanese
korean
koreans
lao
laos
laotian
macao
macau
malaysia
malaysian
mongolia
mongolian
mongolians
myanmar
north korea
north korean
oriental
orientals
philippines
singapore
singaporean
slant eyed
south korea
south korean
southeast asian
soyback
squint nigger
taiwan
taiwanese
thai
thailand
tibet
tibetan
timorese
vietnam
vietnamese
