keyword
asian
asian indian
asians
asiatic
azn
brunei
bruneian
burma
burmese
cambodia
cambodian
chamorro
chiegro
china
chinaman
chinese
ching chong
chinina
chink
chinkerbell
chinks
christmas island
coconut nigger
cocos islands
cracker jap
dog eater
dog muncher
dothead
east asian
east timor
far eastern
filipino
filipinos
fingernail rancher
fob
gink
goldfish monger
goloid
gook
gookaniese
gookemon
gooky
hong kong
indonesia
indonesian
japan
japanese
japanigger
jaundy boy
keeling islands
korean
koreans
lao
laos
laotian
little hiroshima
macao
macau
malaysia
malaysian
mongolia
mongolian
mongolians
myanmar
ninja
nipponese
noodle nigger
north korea
north korean
nuprin
oriental
orientals
panhead
philippines
ping pang
pizdaglaz
pointy head
pumpkinhead
rasian
rice eater
rice nigger
rice picker
schlitzauge
seaweed sucker
singapore
singaporean
sinitic
slant eyed
slope head
south korea
south korean
southeast asian
soyback
squint nigger
taiwan
taiwanese
thai
thailand
thais
thin eyed
tibet
tibetan
timorese
triad
vietnam
vietnamese
wang chung
wog
woggle
yangmo
yao
yigger
zipperhead
