start,tweet count
2022-01-20T00:00:00.000Z,154
2022-01-21T00:00:00.000Z,163
2022-01-22T00:00:00.000Z,177
2022-01-23T00:00:00.000Z,185
2022-01-24T00:00:00.000Z,163
2022-01-25T00:00:00.000Z,203
2022-01-26T00:00:00.000Z,161
2022-01-27T00:00:00.000Z,180
2021-11-27T00:00:00.000Z,214
2021-11-28T00:00:00.000Z,227
2021-11-29T00:00:00.000Z,202
2021-11-30T00:00:00.000Z,217
2021-12-01T00:00:00.000Z,201
2021-12-02T00:00:00.000Z,265
2021-12-03T00:00:00.000Z,183
2021-12-04T00:00:00.000Z,199
2021-12-05T00:00:00.000Z,224
2021-12-06T00:00:00.000Z,183
2021-12-07T00:00:00.000Z,185
2021-12-08T00:00:00.000Z,208
2021-12-09T00:00:00.000Z,211
2021-12-10T00:00:00.000Z,208
2021-12-11T00:00:00.000Z,182
2021-12-12T00:00:00.000Z,191
2021-12-13T00:00:00.000Z,186
2021-12-14T00:00:00.000Z,175
2021-12-15T00:00:00.000Z,221
2021-12-16T00:00:00.000Z,168
2021-12-17T00:00:00.000Z,201
2021-12-18T00:00:00.000Z,211
2021-12-19T00:00:00.000Z,204
2021-12-20T00:00:00.000Z,208
2021-12-21T00:00:00.000Z,184
2021-12-22T00:00:00.000Z,183
2021-12-23T00:00:00.000Z,183
2021-12-24T00:00:00.000Z,236
2021-12-25T00:00:00.000Z,111
2021-12-26T00:00:00.000Z,149
2021-12-27T00:00:00.000Z,176
2021-10-27T00:00:00.000Z,237
2021-10-28T00:00:00.000Z,192
2021-10-29T00:00:00.000Z,252
2021-10-30T00:00:00.000Z,234
2021-10-31T00:00:00.000Z,248
2021-11-01T00:00:00.000Z,307
2021-11-02T00:00:00.000Z,247
2021-11-03T00:00:00.000Z,245
2021-11-04T00:00:00.000Z,215
2021-11-05T00:00:00.000Z,247
2021-11-06T00:00:00.000Z,281
2021-11-07T00:00:00.000Z,240
2021-11-08T00:00:00.000Z,232
2021-11-09T00:00:00.000Z,210
2021-11-10T00:00:00.000Z,264
2021-11-11T00:00:00.000Z,264
2021-11-12T00:00:00.000Z,213
2021-11-13T00:00:00.000Z,252
2021-11-14T00:00:00.000Z,302
2021-11-15T00:00:00.000Z,230
2021-11-16T00:00:00.000Z,260
2021-11-17T00:00:00.000Z,216
2021-11-18T00:00:00.000Z,237
2021-11-19T00:00:00.000Z,239
2021-11-20T00:00:00.000Z,264
2021-11-21T00:00:00.000Z,219
2021-11-22T00:00:00.000Z,200
2021-11-23T00:00:00.000Z,186
2021-11-24T00:00:00.000Z,176
2021-11-25T00:00:00.000Z,204
2021-11-26T00:00:00.000Z,190
2021-09-26T00:00:00.000Z,232
2021-09-27T00:00:00.000Z,220
2021-09-28T00:00:00.000Z,201
2021-09-29T00:00:00.000Z,193
2021-09-30T00:00:00.000Z,198
2021-10-01T00:00:00.000Z,249
2021-10-02T00:00:00.000Z,239
2021-10-03T00:00:00.000Z,188
2021-10-04T00:00:00.000Z,267
2021-10-05T00:00:00.000Z,205
2021-10-06T00:00:00.000Z,230
2021-10-07T00:00:00.000Z,234
2021-10-08T00:00:00.000Z,264
2021-10-09T00:00:00.000Z,250
2021-10-10T00:00:00.000Z,221
2021-10-11T00:00:00.000Z,203
2021-10-12T00:00:00.000Z,267
2021-10-13T00:00:00.000Z,241
2021-10-14T00:00:00.000Z,252
2021-10-15T00:00:00.000Z,226
2021-10-16T00:00:00.000Z,252
2021-10-17T00:00:00.000Z,218
2021-10-18T00:00:00.000Z,220
2021-10-19T00:00:00.000Z,214
2021-10-20T00:00:00.000Z,219
2021-10-21T00:00:00.000Z,217
2021-10-22T00:00:00.000Z,225
2021-10-23T00:00:00.000Z,203
2021-10-24T00:00:00.000Z,184
2021-10-25T00:00:00.000Z,177
2021-10-26T00:00:00.000Z,191
2021-08-26T00:00:00.000Z,231
2021-08-27T00:00:00.000Z,228
2021-08-28T00:00:00.000Z,227
2021-08-29T00:00:00.000Z,214
2021-08-30T00:00:00.000Z,266
2021-08-31T00:00:00.000Z,257
2021-09-01T00:00:00.000Z,211
2021-09-02T00:00:00.000Z,208
2021-09-03T00:00:00.000Z,240
2021-09-04T00:00:00.000Z,220
2021-09-05T00:00:00.000Z,199
2021-09-06T00:00:00.000Z,201
2021-09-07T00:00:00.000Z,219
2021-09-08T00:00:00.000Z,177
2021-09-09T00:00:00.000Z,213
2021-09-10T00:00:00.000Z,234
2021-09-11T00:00:00.000Z,239
2021-09-12T00:00:00.000Z,247
2021-09-13T00:00:00.000Z,207
2021-09-14T00:00:00.000Z,212
2021-09-15T00:00:00.000Z,240
2021-09-16T00:00:00.000Z,337
2021-09-17T00:00:00.000Z,268
2021-09-18T00:00:00.000Z,273
2021-09-19T00:00:00.000Z,269
2021-09-20T00:00:00.000Z,201
2021-09-21T00:00:00.000Z,226
2021-09-22T00:00:00.000Z,276
2021-09-23T00:00:00.000Z,224
2021-09-24T00:00:00.000Z,251
2021-09-25T00:00:00.000Z,224
2021-07-26T00:00:00.000Z,331
2021-07-27T00:00:00.000Z,255
2021-07-28T00:00:00.000Z,237
2021-07-29T00:00:00.000Z,319
2021-07-30T00:00:00.000Z,278
2021-07-31T00:00:00.000Z,253
2021-08-01T00:00:00.000Z,246
2021-08-02T00:00:00.000Z,284
2021-08-03T00:00:00.000Z,213
2021-08-04T00:00:00.000Z,241
2021-08-05T00:00:00.000Z,235
2021-08-06T00:00:00.000Z,243
2021-08-07T00:00:00.000Z,265
2021-08-08T00:00:00.000Z,344
2021-08-09T00:00:00.000Z,281
2021-08-10T00:00:00.000Z,274
2021-08-11T00:00:00.000Z,233
2021-08-12T00:00:00.000Z,249
2021-08-13T00:00:00.000Z,241
2021-08-14T00:00:00.000Z,205
2021-08-15T00:00:00.000Z,331
2021-08-16T00:00:00.000Z,334
2021-08-17T00:00:00.000Z,306
2021-08-18T00:00:00.000Z,334
2021-08-19T00:00:00.000Z,237
2021-08-20T00:00:00.000Z,276
2021-08-21T00:00:00.000Z,243
2021-08-22T00:00:00.000Z,260
2021-08-23T00:00:00.000Z,267
2021-08-24T00:00:00.000Z,224
2021-08-25T00:00:00.000Z,223
2021-06-25T00:00:00.000Z,217
2021-06-26T00:00:00.000Z,309
2021-06-27T00:00:00.000Z,214
2021-06-28T00:00:00.000Z,224
2021-06-29T00:00:00.000Z,212
2021-06-30T00:00:00.000Z,175
2021-07-01T00:00:00.000Z,254
2021-07-02T00:00:00.000Z,239
2021-07-03T00:00:00.000Z,250
2021-07-04T00:00:00.000Z,219
2021-07-05T00:00:00.000Z,210
2021-07-06T00:00:00.000Z,224
2021-07-07T00:00:00.000Z,241
2021-07-08T00:00:00.000Z,224
2021-07-09T00:00:00.000Z,264
2021-07-10T00:00:00.000Z,203
2021-07-11T00:00:00.000Z,215
2021-07-12T00:00:00.000Z,208
2021-07-13T00:00:00.000Z,234
2021-07-14T00:00:00.000Z,254
2021-07-15T00:00:00.000Z,199
2021-07-16T00:00:00.000Z,248
2021-07-17T00:00:00.000Z,180
2021-07-18T00:00:00.000Z,195
2021-07-19T00:00:00.000Z,265
2021-07-20T00:00:00.000Z,266
2021-07-21T00:00:00.000Z,265
