keyword
Azn    
Bug-eater
Chinaman
Ching-chong
Chinina
Chink
Chinkerbell
Dog-eater
Dog-muncher
Egghead
Fingernail rancher
Gink
Goldfish monger
Goloid
Gookemon
Japanigger
Jaundy boy
Lemonhead
Little hiroshima
Ninja
Nuprin
Panhead
Ping-pang
Pizdaglaz
Pointy-head
Pumpkinhead
Rasian
Rice nigger
Rice-eater
Rice-picker
Schlitzauge
Seaweed-sucker
Slant
Slant-eyed
Slit
Slope
Slope head
Socket face
Soyback
Squint nigger
Table face
Tape head
Thin-eyed
Triad
Wang chung
Wog
Woggle
Yangmo
Yao
Yellow devil
Yellow monkey
Yelvis
Yigger
Zipperhead
Asian
Asians
Asian indian
Burmese
Chamorro
Chiegro
Chinaman
Chinese
Ching chong
Chink 
Chinks
Coconut nigger
Cracker jap
Dog muncher
Dog-muncher
Dothead
East asian
Filipino
Filipinos
Fingernail rancher
Fob
Gook
Gookaniese
Gookemon
Gooky
Indonesian
Japanese
Karen people
Korean
Koreans
Laotian
Little hiroshima
Malaysian
Mongolian
Mongolians 
Noodle nigger
North korean
Oriental
Orientals
Rice burner
Rice nigger
Rice-nigger
Rice rocket
Taiwanese
Thai
Thais
Thin eyed
Thin-eyed
Tibet
Tibetan
Vietnamese
Zipperhead
Mongolian
Southeast asian
East-asian
Asiatic
Far-eastern
Japanese
Thai
Vietnamese
Cambodian
Chinese
Burmese
Sinitic
Nipponese
Tibetan
China
Chinese
Hong Kong
Japan
Japanese
Macau
Macao
Mongolia
Mongolian
North Korea
North Korean
South Korea
South Korean
Taiwan
Taiwanese
Brunei
Bruneian
Cambodia
Cambodian
Christmas Island
Cocos Islands
Keeling Islands
East Timor
Timorese
Indonesia
Indonesian
Laos
Lao
Malaysia
Malaysian
Myanmar
Burma
Burmese
Philippines
Filipino
Singapore
Singaporean
Thailand
Thai
Vietnam
Vietnamese
