date	tweetCount
2019-05-27 00:00:00+00:00	369
2019-05-28 00:00:00+00:00	395
2019-05-29 00:00:00+00:00	454
2019-05-30 00:00:00+00:00	380
2019-05-31 00:00:00+00:00	390
2019-06-01 00:00:00+00:00	435
2019-06-02 00:00:00+00:00	442
2019-06-03 00:00:00+00:00	476
2019-06-04 00:00:00+00:00	457
2019-06-05 00:00:00+00:00	410
2019-06-06 00:00:00+00:00	420
2019-06-07 00:00:00+00:00	466
2019-06-08 00:00:00+00:00	424
2019-06-09 00:00:00+00:00	378
2019-06-10 00:00:00+00:00	483
2019-06-11 00:00:00+00:00	670
2019-06-12 00:00:00+00:00	612
2019-06-13 00:00:00+00:00	562
2019-06-14 00:00:00+00:00	552
2019-06-15 00:00:00+00:00	528
2019-06-16 00:00:00+00:00	494
2019-06-17 00:00:00+00:00	451
2019-06-18 00:00:00+00:00	514
2019-06-19 00:00:00+00:00	575
2019-06-20 00:00:00+00:00	469
2019-06-21 00:00:00+00:00	463
2019-06-22 00:00:00+00:00	354
2019-06-23 00:00:00+00:00	443
2019-06-24 00:00:00+00:00	377
2019-06-25 00:00:00+00:00	605
2019-06-26 00:00:00+00:00	446
2019-06-27 00:00:00+00:00	439
2019-06-28 00:00:00+00:00	369
2019-06-29 00:00:00+00:00	371
2019-06-30 00:00:00+00:00	430
2019-07-01 00:00:00+00:00	612
2019-07-02 00:00:00+00:00	516
2019-07-03 00:00:00+00:00	434
2019-07-04 00:00:00+00:00	598
2019-07-05 00:00:00+00:00	464
2019-07-06 00:00:00+00:00	386
2019-07-07 00:00:00+00:00	435
2019-07-08 00:00:00+00:00	352
2019-07-09 00:00:00+00:00	393
2019-07-10 00:00:00+00:00	393
2019-07-11 00:00:00+00:00	446
2019-07-12 00:00:00+00:00	388
2019-07-13 00:00:00+00:00	357
2019-07-14 00:00:00+00:00	447
2019-07-15 00:00:00+00:00	391
2019-07-16 00:00:00+00:00	408
2019-07-17 00:00:00+00:00	466
2019-07-18 00:00:00+00:00	419
2019-07-19 00:00:00+00:00	409
2019-07-20 00:00:00+00:00	395
2019-07-21 00:00:00+00:00	387
2019-07-22 00:00:00+00:00	404
2019-07-23 00:00:00+00:00	394
2019-07-24 00:00:00+00:00	408
2019-07-25 00:00:00+00:00	343
2019-07-26 00:00:00+00:00	481
2019-07-27 00:00:00+00:00	514
2019-07-28 00:00:00+00:00	470
2019-07-29 00:00:00+00:00	348
2019-07-30 00:00:00+00:00	399
2019-07-31 00:00:00+00:00	400
2019-08-01 00:00:00+00:00	394
2019-08-02 00:00:00+00:00	425
2019-08-03 00:00:00+00:00	338
2019-08-04 00:00:00+00:00	338
2019-08-05 00:00:00+00:00	396
2019-08-06 00:00:00+00:00	385
2019-08-07 00:00:00+00:00	380
2019-08-08 00:00:00+00:00	374
2019-08-09 00:00:00+00:00	402
